timestamp,open,high,low,close,volume
2022-05-06,135.4700,137.9900,135.4700,137.6700,7306396
2022-05-05,136.4600,137.2600,134.7600,135.9200,5957434
2022-05-04,132.8700,137.8700,132.1400,137.4000,5913705
2022-05-03,133.0000,133.6000,131.9900,132.5200,3688574
2022-05-02,133.0000,133.7700,130.8900,133.0400,4213477
2022-04-29,135.1300,135.5545,132.0000,132.2100,5078660
2022-04-28,136.8500,136.9900,134.8100,135.7400,4477068
2022-04-27,135.7800,137.1200,134.6300,135.0600,4369052
2022-04-26,139.0000,139.8700,136.1700,136.1900,4887395
2022-04-25,137.5900,139.6500,135.1900,139.1000,5748289
2022-04-22,139.7000,140.4399,137.3500,138.2500,6508599
2022-04-21,138.2300,141.8800,137.3500,139.8500,9922349
2022-04-20,135.0000,139.5600,133.3800,138.3200,17770306
2022-04-19,126.0800,129.4000,126.0000,129.1500,7971361
2022-04-18,126.6000,127.3899,125.5300,126.1700,4884150
2022-04-14,128.9300,130.5800,126.3800,126.5600,6384180
2022-04-13,125.6400,126.6700,124.9100,126.1400,3064918
2022-04-12,126.4200,127.3400,125.5835,125.9800,2690998
2022-04-11,127.9500,128.1750,126.1800,126.3700,3202545
2022-04-08,128.0100,128.7800,127.2700,127.7300,3143309
2022-04-07,128.8700,129.2499,126.7300,128.5500,3538317
2022-04-06,127.7800,129.5150,127.2500,129.3900,3958057
2022-04-05,129.8500,131.2300,128.6600,128.8900,3102238
2022-04-04,130.2600,130.4500,128.9300,130.2700,2811100
2022-04-01,129.6600,130.2700,128.0600,130.1500,4012373
2022-03-31,130.7200,131.8800,130.0000,130.0200,4274029
2022-03-30,132.0100,133.0800,131.3900,132.1300,2622860
2022-03-29,132.0400,132.8400,130.4300,131.9400,5791032
2022-03-28,130.8200,131.5000,129.6000,131.4700,2483492
2022-03-25,129.5000,131.4000,129.3100,131.3500,3516923
2022-03-24,128.3300,129.3700,127.8000,129.2500,2971075
2022-03-23,129.0800,129.3200,128.2500,128.3000,2924535
